"","Unclassified","Fatty.Acyls","Organooxygen.compounds","Hydroxy.acids.and.derivatives","Organic.phosphonic.acids.and.derivatives","Heteroaromatic.compounds","Phenols","Organic.sulfuric.acids.and.derivatives","Diazines","Organic.carbonic.acids.and.derivatives","Keto.acids.and.derivatives","Dihydrofurans","Lactones","Organic.sulfonic.acids.and.derivatives","Carboxylic.acids.and.derivatives","Benzene.and.substituted.derivatives","Azoles","Quinolines.and.derivatives","Cinnamic.acids.and.derivatives","Benzothiazoles","Imidazopyrimidines","Pyrans","Tropane.alkaloids","Other.mixed.metal.non.metal.oxoanionic.compounds","Pyridines.and.derivatives","Phenol.ethers","Indolizidines","Indoles.and.derivatives","Thiazinanes","Thiosulfinic.acid.esters","Isocoumarans","Phenylpropanoic.acids","Furans","Prenol.lipids","Benzopyrans","Naphthalenes"
"Deferribacterota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deinococcota",-0.6,-0.1,-0.5,0.3,0.3,-0.2,-0.1,0.9,-0.4,0,0.6,-0.8,-0.2,-0.2,-0.7,-0.6,-0.1,-0.3,-0.1,0.9,-0.1,-0.6,-0.9,0.3,-0.4,-0.1,-0.8,0.6,0.8,0.1,0.3,-0.5,-0.1,-0.2,0.5,-0.1
"Dependentiae",0,-0.7,-0.2,0.6,0.1,-0.1,0.2,-0.2,0.2,0.3,0.2,0.6,-0.1,-0.1,0.1,0,0.2,0.1,0.7,-0.3,0.3,0.3,0.2,-0.5,0.2,-0.8,0.5,0,-0.5,-0.5,0.6,0.6,0.2,0.4,0.3,0.3
"Desulfobacterota",0.1,-0.6,-0.1,0.2,-0.2,-0.2,0,-0.6,0.1,0.4,-0.1,0.7,-0.2,0,0.2,0.1,0,0,0.5,-0.5,0.1,0.4,0.6,-0.3,0.1,-0.6,0.8,-0.1,-0.8,-0.6,0.2,0.8,0,0.3,-0.1,0.1
"Elusimicrobiota",0.1,-0.6,-0.1,0.2,-0.2,-0.2,0,-0.6,0.1,0.4,-0.1,0.7,-0.2,0,0.2,0.1,0,0,0.5,-0.5,0.1,0.4,0.6,-0.3,0.1,-0.6,0.8,-0.1,-0.8,-0.6,0.2,0.8,0,0.3,-0.1,0.1
"Entotheonellaeota",-0.2,-0.3,0.2,-0.4,-0.1,-0.1,0,-0.8,-0.2,0.7,-0.8,0.6,-0.1,-0.5,0.1,-0.2,0,-0.5,-0.5,-0.5,-0.7,0.7,0.8,0.1,-0.2,0.2,0.9,0.2,-0.9,-0.3,-0.4,0.4,0,-0.6,-0.3,-0.7
"FCPU426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fibrobacterota",-0.8,-0.8,-0.5,-0.1,-0.1,-0.6,-0.3,-0.3,-0.7,1,-0.2,0.1,-0.6,-0.6,-0.6,-0.8,-0.3,-0.9,-0.3,0.2,-0.8,0.2,0.3,0.4,-0.7,-0.3,0.6,0.8,-0.6,-0.7,-0.1,0.5,-0.3,-0.6,0,-0.8
"Firmicutes",0.1,-0.6,-0.4,0.5,-0.2,-0.3,-0.1,-0.1,0.1,0.1,0.5,0.3,-0.3,0.3,0,0.1,-0.1,0.2,0.9,-0.1,0.5,-0.1,0.1,-0.3,0.1,-0.9,0.3,-0.1,-0.3,-0.6,0.5,0.7,-0.1,0.7,0.1,0.5
"Fusobacteriota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAL15",-0.1,-0.6,-0.5,-0.2,-0.7,-0.7,-0.6,-0.6,-0.4,0.5,0.1,0.2,-0.7,0.3,-0.2,-0.1,-0.6,-0.3,0.4,-0.1,-0.1,-0.1,0.6,0.3,-0.4,-0.6,0.7,0.1,-0.7,-0.9,-0.2,1,-0.6,0.3,-0.5,-0.1
"Gemmatimonadota",-0.3,0.2,-0.2,-0.9,-0.6,-0.5,-0.7,-0.3,-0.7,0.3,-0.3,-0.5,-0.5,0.1,-0.4,-0.3,-0.7,-0.6,-0.7,0.3,-0.7,-0.3,0.3,0.9,-0.7,0.5,0.1,0.3,-0.1,-0.2,-0.9,0.1,-0.7,-0.5,-0.7,-0.7
"Hydrogenedentes",0.872081599272381,0.718184846459608,0.564288093646835,0.205195670417031,0.153896752812773,0.66688592885535,0.410391340834062,0.205195670417031,0.820782681668123,-0.974679434480896,0.153896752812773,0.102597835208515,0.66688592885535,0.564288093646835,0.718184846459608,0.872081599272381,0.410391340834062,0.974679434480896,0.410391340834062,-0.359092423229804,0.872081599272381,-0.0512989176042577,-0.205195670417031,-0.564288093646835,0.820782681668123,0.205195670417031,-0.461690258438319,-0.872081599272381,0.461690258438319,0.66688592885535,0.205195670417031,-0.410391340834062,0.410391340834062,0.66688592885535,0.0512989176042577,0.872081599272381
"Latescibacterota",0.1,-0.6,-0.1,0.2,-0.2,-0.2,0,-0.6,0.1,0.4,-0.1,0.7,-0.2,0,0.2,0.1,0,0,0.5,-0.5,0.1,0.4,0.6,-0.3,0.1,-0.6,0.8,-0.1,-0.8,-0.6,0.2,0.8,0,0.3,-0.1,0.1
"MBNT15",0.1,-0.6,-0.1,0.2,-0.2,-0.2,0,-0.6,0.1,0.4,-0.1,0.7,-0.2,0,0.2,0.1,0,0,0.5,-0.5,0.1,0.4,0.6,-0.3,0.1,-0.6,0.8,-0.1,-0.8,-0.6,0.2,0.8,0,0.3,-0.1,0.1
"Methylomirabilota",-0.2,-0.7,-0.3,-0.1,-0.4,-0.5,-0.3,-0.7,-0.3,0.7,-0.2,0.5,-0.5,-0.1,-0.1,-0.2,-0.3,-0.4,0.2,-0.3,-0.3,0.3,0.7,0.1,-0.3,-0.5,0.9,0.2,-0.9,-0.8,-0.1,0.9,-0.3,0,-0.3,-0.3
"Myxococcota",-0.7,-0.2,-0.3,0.4,0.6,0,0.2,0.8,-0.3,0.2,0.3,-0.5,0,-0.6,-0.6,-0.7,0.2,-0.4,-0.3,0.7,-0.3,-0.2,-0.8,0.1,-0.3,0,-0.6,0.7,0.6,0.2,0.4,-0.6,0.2,-0.5,0.7,-0.3
"NB1.j",-0.2,-0.7,-0.3,-0.1,-0.4,-0.5,-0.3,-0.7,-0.3,0.7,-0.2,0.5,-0.5,-0.1,-0.1,-0.2,-0.3,-0.4,0.2,-0.3,-0.3,0.3,0.7,0.1,-0.3,-0.5,0.9,0.2,-0.9,-0.8,-0.1,0.9,-0.3,0,-0.3,-0.3
"Nitrospirota",0.5,-0.1,-0.1,-0.2,-0.7,-0.3,-0.4,-0.6,0.1,-0.1,0.1,0.3,-0.3,0.7,0.3,0.5,-0.4,0.3,0.6,-0.4,0.4,-0.1,0.6,0,0.1,-0.4,0.5,-0.5,-0.5,-0.5,-0.2,0.8,-0.4,0.7,-0.6,0.4
"Patescibacteria",-0.1,-0.6,-0.5,-0.2,-0.7,-0.7,-0.6,-0.6,-0.4,0.5,0.1,0.2,-0.7,0.3,-0.2,-0.1,-0.6,-0.3,0.4,-0.1,-0.1,-0.1,0.6,0.3,-0.4,-0.6,0.7,0.1,-0.7,-0.9,-0.2,1,-0.6,0.3,-0.5,-0.1
"Planctomycetota",-0.7,-1,-0.7,0.4,0,-0.6,-0.2,0,-0.5,0.8,0.3,0.1,-0.6,-0.4,-0.6,-0.7,-0.2,-0.6,0.3,0.3,-0.3,0,0,0.1,-0.5,-0.8,0.4,0.7,-0.4,-0.8,0.4,0.6,-0.2,-0.1,0.3,-0.3
"Proteobacteria",0.7,1,0.7,-0.4,0,0.6,0.2,0,0.5,-0.8,-0.3,-0.1,0.6,0.4,0.6,0.7,0.2,0.6,-0.3,-0.3,0.3,0,0,-0.1,0.5,0.8,-0.4,-0.7,0.4,0.8,-0.4,-0.6,0.2,0.1,-0.3,0.3
"RCP2.54",0.3,-0.3,0.3,0,-0.1,0.1,0.2,-0.8,0.3,0.3,-0.5,0.9,0.1,-0.1,0.5,0.3,0.2,0.1,0.2,-0.8,0,0.7,0.8,-0.4,0.3,-0.2,0.9,-0.3,-0.9,-0.3,0,0.6,0.2,0.1,-0.2,0
"SAR324_clade.Marine_group_B.",-0.6,-0.5,-0.1,-0.3,0,-0.3,-0.1,-0.5,-0.5,0.9,-0.6,0.3,-0.3,-0.7,-0.3,-0.6,-0.1,-0.8,-0.6,-0.1,-0.9,0.5,0.5,0.3,-0.5,0.1,0.7,0.6,-0.7,-0.4,-0.3,0.3,-0.1,-0.8,-0.1,-0.9
"Spirochaetota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumerlaeota",-0.7,-0.2,0,0.1,0.6,0.1,0.3,0.3,-0.3,0.5,-0.3,-0.1,0.1,-0.9,-0.4,-0.7,0.3,-0.6,-0.7,0.3,-0.7,0.3,-0.3,0.1,-0.3,0.3,-0.1,0.7,0.1,0.2,0.1,-0.5,0.3,-0.9,0.5,-0.7
"Synergistota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verrucomicrobiota",0.3,-0.2,0.2,0.9,0.6,0.5,0.7,0.3,0.7,-0.3,0.3,0.5,0.5,-0.1,0.4,0.3,0.7,0.6,0.7,-0.3,0.7,0.3,-0.3,-0.9,0.7,-0.5,-0.1,-0.3,0.1,0.2,0.9,-0.1,0.7,0.5,0.7,0.7
"WOR.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WPS.2",1,0.7,0.7,-0.1,-0.1,0.6,0.3,-0.3,0.8,-0.8,-0.2,0.4,0.6,0.6,0.9,1,0.3,0.9,0.3,-0.7,0.7,0.2,0.3,-0.5,0.8,0.3,0,-1,0,0.5,-0.1,-0.1,0.3,0.6,-0.3,0.7
"WS2",0.3,0.7,0.2,-0.9,-0.6,-0.1,-0.5,-0.3,-0.2,-0.3,-0.3,-0.4,-0.1,0.5,0.1,0.3,-0.5,0,-0.5,0,-0.2,-0.3,0.3,0.6,-0.2,0.7,-0.1,-0.3,0.1,0.2,-0.9,-0.1,-0.5,-0.1,-0.8,-0.2
"unclassified_Bacteria",-0.6,-0.4,0.1,0.3,0.7,0.2,0.5,0.1,-0.1,0.6,-0.4,0.3,0.2,-1,-0.2,-0.6,0.5,-0.5,-0.5,0,-0.6,0.6,-0.1,-0.2,-0.1,0.1,0.2,0.6,-0.2,0.1,0.3,-0.3,0.5,-0.8,0.6,-0.6
