from	to	rho	p
Sphingolipids	Dependentiae	-0.9	0.0373860734684985
Sphingolipids	Gemmatimonadota	0.9	0.0373860734684985
Sphingolipids	Verrucomicrobiota	-0.9	0.0373860734684985
Sphingolipids	WS2	0.9	0.0373860734684985
Isoindoles and derivatives	Deinococcota	0.9	0.0373860734684985
Arylnaphthalene lignans	Chloroflexi	-0.9	0.0373860734684985
Arylnaphthalene lignans	Entotheonellaeota	-0.9	0.0373860734684985
Depsides and depsidones	Deinococcota	1	0
Depsides and depsidones	Myxococcota	0.9	0.0373860734684985
Depsides and depsidones	RCP2-54	-0.9	0.0373860734684985
Plumeran-type alkaloids	Gemmatimonadota	0.9	0.0373860734684985
Plumeran-type alkaloids	Verrucomicrobiota	-0.9	0.0373860734684985
Plumeran-type alkaloids	WS2	0.9	0.0373860734684985
Neoflavonoids	Bdellovibrionota	0.9	0.0373860734684985
Neoflavonoids	GAL15	-0.9	0.0373860734684985
Neoflavonoids	Patescibacteria	-0.9	0.0373860734684985
Glycerophospholipids	Abditibacteriota	-1	0
Glycerophospholipids	Acidobacteriota	0.9	0.0373860734684985
Glycerophospholipids	Actinobacteriota	-0.9	0.0373860734684985
Glycerophospholipids	Chloroflexi	0.9	0.0373860734684985
Glycerophospholipids	Entotheonellaeota	0.9	0.0373860734684985
Glycerophospholipids	Methylomirabilota	0.9	0.0373860734684985
Glycerophospholipids	NB1-j	0.9	0.0373860734684985
Glycerophospholipids	RCP2-54	0.9	0.0373860734684985
Peptidomimetics	Cyanobacteria	0.9	0.0373860734684985
Peptidomimetics	Dadabacteria	0.9	0.0373860734684985
Peptidomimetics	Gemmatimonadota	1	0
Peptidomimetics	Verrucomicrobiota	-1	0
Macrolactams	Abditibacteriota	-0.9	0.0373860734684985
Macrolactams	Acidobacteriota	1	0
Macrolactams	Actinobacteriota	-1	0
Macrolactams	Bdellovibrionota	-0.9	0.0373860734684985
Macrolactams	Desulfobacterota	0.9	0.0373860734684985
Macrolactams	Elusimicrobiota	0.9	0.0373860734684985
Macrolactams	GAL15	0.9	0.0373860734684985
Macrolactams	Latescibacterota	0.9	0.0373860734684985
Macrolactams	MBNT15	0.9	0.0373860734684985
Macrolactams	Methylomirabilota	1	0
Macrolactams	NB1-j	1	0
Macrolactams	Patescibacteria	0.9	0.0373860734684985
Strychnos alkaloids	Acidobacteriota	0.9	0.0373860734684985
Strychnos alkaloids	Actinobacteriota	-0.9	0.0373860734684985
Strychnos alkaloids	Bacteroidota	-0.9	0.0373860734684985
Strychnos alkaloids	Fibrobacterota	0.9	0.0373860734684985
Strychnos alkaloids	Methylomirabilota	0.9	0.0373860734684985
Strychnos alkaloids	NB1-j	0.9	0.0373860734684985
Strychnos alkaloids	Planctomycetota	0.9	0.0373860734684985
Strychnos alkaloids	Proteobacteria	-0.9	0.0373860734684985
Pyrrolidines	Acidobacteriota	0.9	0.0373860734684985
Pyrrolidines	Actinobacteriota	-0.9	0.0373860734684985
Pyrrolidines	Dependentiae	0.9	0.0373860734684985
Pyrrolidines	Desulfobacterota	1	0
Pyrrolidines	Elusimicrobiota	1	0
Pyrrolidines	Latescibacterota	1	0
Pyrrolidines	MBNT15	1	0
Pyrrolidines	Methylomirabilota	0.9	0.0373860734684985
Pyrrolidines	NB1-j	0.9	0.0373860734684985
Pyrrolidines	RCP2-54	0.9	0.0373860734684985
Tetrahydrofurans	Bacteroidota	-0.9	0.0373860734684985
Tetrahydrofurans	Fibrobacterota	0.9	0.0373860734684985
Tetrahydrofurans	Hydrogenedentes	-0.974679434480896	0.00481823046819851
Tetrahydrofurans	WPS-2	-0.9	0.0373860734684985
Unsaturated hydrocarbons	WPS-2	0.9	0.0373860734684985
Polycyclic hydrocarbons	Planctomycetota	-1	0
Polycyclic hydrocarbons	Proteobacteria	1	0
Organic phosphoric acids and derivatives	SAR324_clade(Marine_group_B)	0.9	0.0373860734684985
Organic phosphoric acids and derivatives	unclassified_Bacteria	0.9	0.0373860734684985
Acenaphthylenes	Bacteroidota	-0.9	0.0373860734684985
Acenaphthylenes	Fibrobacterota	0.9	0.0373860734684985
Acenaphthylenes	Hydrogenedentes	-0.974679434480896	0.00481823046819851
Acenaphthylenes	WPS-2	-0.9	0.0373860734684985
Quinolizines	WPS-2	1	0
Imidazodiazepines	Acidobacteriota	-0.9	0.0373860734684985
Imidazodiazepines	Actinobacteriota	0.9	0.0373860734684985
Imidazodiazepines	Bacteroidota	0.9	0.0373860734684985
Imidazodiazepines	Fibrobacterota	-0.9	0.0373860734684985
Imidazodiazepines	Methylomirabilota	-0.9	0.0373860734684985
Imidazodiazepines	NB1-j	-0.9	0.0373860734684985
Imidazodiazepines	Planctomycetota	-0.9	0.0373860734684985
Imidazodiazepines	Proteobacteria	0.9	0.0373860734684985
Allyl-type 1,3-dipolar organic compounds	Dadabacteria	0.9	0.0373860734684985
Allyl-type 1,3-dipolar organic compounds	SAR324_clade(Marine_group_B)	0.9	0.0373860734684985
Organic oxides	RCP2-54	0.9	0.0373860734684985
Pteridines and derivatives	Abditibacteriota	0.9	0.0373860734684985
Pteridines and derivatives	Deinococcota	0.9	0.0373860734684985
Pteridines and derivatives	Desulfobacterota	-0.9	0.0373860734684985
Pteridines and derivatives	Elusimicrobiota	-0.9	0.0373860734684985
Pteridines and derivatives	Latescibacterota	-0.9	0.0373860734684985
Pteridines and derivatives	MBNT15	-0.9	0.0373860734684985
Pteridines and derivatives	RCP2-54	-1	0
Azepanes	Abditibacteriota	-1	0
Azepanes	Acidobacteriota	0.9	0.0373860734684985
Azepanes	Actinobacteriota	-0.9	0.0373860734684985
Azepanes	Chloroflexi	0.9	0.0373860734684985
Azepanes	Entotheonellaeota	0.9	0.0373860734684985
Azepanes	Methylomirabilota	0.9	0.0373860734684985
Azepanes	NB1-j	0.9	0.0373860734684985
Azepanes	RCP2-54	0.9	0.0373860734684985
Harmala alkaloids	Acidobacteriota	-0.9	0.0373860734684985
Harmala alkaloids	Actinobacteriota	0.9	0.0373860734684985
Harmala alkaloids	Bacteroidota	0.9	0.0373860734684985
Harmala alkaloids	Fibrobacterota	-0.9	0.0373860734684985
Harmala alkaloids	Methylomirabilota	-0.9	0.0373860734684985
Harmala alkaloids	NB1-j	-0.9	0.0373860734684985
Harmala alkaloids	Planctomycetota	-0.9	0.0373860734684985
Harmala alkaloids	Proteobacteria	0.9	0.0373860734684985
Azaspirodecane derivatives	Armatimonadota	0.9	0.0373860734684985
Pyrroles	Acidobacteriota	-0.9	0.0373860734684985
Pyrroles	Actinobacteriota	0.9	0.0373860734684985
Pyrroles	Bdellovibrionota	1	0
Pyrroles	GAL15	-1	0
Pyrroles	Methylomirabilota	-0.9	0.0373860734684985
Pyrroles	NB1-j	-0.9	0.0373860734684985
Pyrroles	Patescibacteria	-1	0
Dihydroisoquinolines	Abditibacteriota	-0.9	0.0373860734684985
Dihydroisoquinolines	Acidobacteriota	1	0
Dihydroisoquinolines	Actinobacteriota	-1	0
Dihydroisoquinolines	Bdellovibrionota	-0.9	0.0373860734684985
Dihydroisoquinolines	Desulfobacterota	0.9	0.0373860734684985
Dihydroisoquinolines	Elusimicrobiota	0.9	0.0373860734684985
Dihydroisoquinolines	GAL15	0.9	0.0373860734684985
Dihydroisoquinolines	Latescibacterota	0.9	0.0373860734684985
Dihydroisoquinolines	MBNT15	0.9	0.0373860734684985
Dihydroisoquinolines	Methylomirabilota	1	0
Dihydroisoquinolines	NB1-j	1	0
Dihydroisoquinolines	Patescibacteria	0.9	0.0373860734684985
Isocoumarins and derivatives	Bacteroidota	0.9	0.0373860734684985
Isocoumarins and derivatives	Chloroflexi	-0.9	0.0373860734684985
Isocoumarins and derivatives	Entotheonellaeota	-0.9	0.0373860734684985
Isocoumarins and derivatives	Fibrobacterota	-0.9	0.0373860734684985
Isocoumarins and derivatives	SAR324_clade(Marine_group_B)	-1	0
Benzazepines	Acidobacteriota	-0.9	0.0373860734684985
Benzazepines	Actinobacteriota	0.9	0.0373860734684985
Benzazepines	Bacteroidota	0.9	0.0373860734684985
Benzazepines	Fibrobacterota	-0.9	0.0373860734684985
Benzazepines	Methylomirabilota	-0.9	0.0373860734684985
Benzazepines	NB1-j	-0.9	0.0373860734684985
Benzazepines	Planctomycetota	-0.9	0.0373860734684985
Benzazepines	Proteobacteria	0.9	0.0373860734684985
Phenol esters	Armatimonadota	-0.9	0.0373860734684985
Phenol esters	Bdellovibrionota	-0.9	0.0373860734684985
Phenol esters	GAL15	0.9	0.0373860734684985
Phenol esters	Nitrospirota	0.9	0.0373860734684985
Phenol esters	Patescibacteria	0.9	0.0373860734684985
Indolonaphthyridine alkaloids	Bacteroidota	0.9	0.0373860734684985
Indolonaphthyridine alkaloids	Fibrobacterota	-0.9	0.0373860734684985
Indolonaphthyridine alkaloids	Hydrogenedentes	0.974679434480896	0.00481823046819851
Indolonaphthyridine alkaloids	WPS-2	0.9	0.0373860734684985
Trithiolanes	Myxococcota	-0.9	0.0373860734684985
Ergoline and derivatives	Armatimonadota	0.9	0.0373860734684985
Lupin alkaloids	WPS-2	0.9	0.0373860734684985
Azolidines	Abditibacteriota	-0.9	0.0373860734684985
Azolidines	Deinococcota	-0.9	0.0373860734684985
Azolidines	Desulfobacterota	0.9	0.0373860734684985
Azolidines	Elusimicrobiota	0.9	0.0373860734684985
Azolidines	Latescibacterota	0.9	0.0373860734684985
Azolidines	MBNT15	0.9	0.0373860734684985
Azolidines	RCP2-54	1	0
Saxitoxins, gonyautoxins, and derivatives	Abditibacteriota	-0.9	0.0373860734684985
Saxitoxins, gonyautoxins, and derivatives	Deinococcota	-0.9	0.0373860734684985
Saxitoxins, gonyautoxins, and derivatives	Desulfobacterota	0.9	0.0373860734684985
Saxitoxins, gonyautoxins, and derivatives	Elusimicrobiota	0.9	0.0373860734684985
Saxitoxins, gonyautoxins, and derivatives	Latescibacterota	0.9	0.0373860734684985
Saxitoxins, gonyautoxins, and derivatives	MBNT15	0.9	0.0373860734684985
Saxitoxins, gonyautoxins, and derivatives	RCP2-54	1	0
Quinolizidines	Gemmatimonadota	-0.9	0.0373860734684985
Quinolizidines	Verrucomicrobiota	0.9	0.0373860734684985
5'-deoxyribonucleosides	Gemmatimonadota	-0.9	0.0373860734684985
5'-deoxyribonucleosides	Verrucomicrobiota	0.9	0.0373860734684985
Glycerolipids	Bacteroidota	0.9	0.0373860734684985
Glycerolipids	Fibrobacterota	-0.9	0.0373860734684985
Glycerolipids	Hydrogenedentes	0.974679434480896	0.00481823046819851
Glycerolipids	WPS-2	0.9	0.0373860734684985
Azetidines	Abditibacteriota	-1	0
Azetidines	Acidobacteriota	0.9	0.0373860734684985
Azetidines	Actinobacteriota	-0.9	0.0373860734684985
Azetidines	Chloroflexi	0.9	0.0373860734684985
Azetidines	Entotheonellaeota	0.9	0.0373860734684985
Azetidines	Methylomirabilota	0.9	0.0373860734684985
Azetidines	NB1-j	0.9	0.0373860734684985
Azetidines	RCP2-54	0.9	0.0373860734684985
Gelsemium alkaloids	Gemmatimonadota	0.9	0.0373860734684985
Gelsemium alkaloids	Verrucomicrobiota	-0.9	0.0373860734684985
Gelsemium alkaloids	WS2	0.9	0.0373860734684985
Pyrrolines	Chloroflexi	0.9	0.0373860734684985
Pyrrolines	Entotheonellaeota	0.9	0.0373860734684985
Daphniphylline-type alkaloids	Abditibacteriota	0.9	0.0373860734684985
Daphniphylline-type alkaloids	Chloroflexi	-1	0
Daphniphylline-type alkaloids	Entotheonellaeota	-1	0
Daphniphylline-type alkaloids	SAR324_clade(Marine_group_B)	-0.9	0.0373860734684985
Aspidospermatan-type alkaloids	Abditibacteriota	0.9	0.0373860734684985
Aspidospermatan-type alkaloids	Chloroflexi	-1	0
Aspidospermatan-type alkaloids	Entotheonellaeota	-1	0
Aspidospermatan-type alkaloids	SAR324_clade(Marine_group_B)	-0.9	0.0373860734684985
Tropones	Cyanobacteria	-0.9	0.0373860734684985
Tropones	Dependentiae	1	0
Tropones	Desulfobacterota	0.9	0.0373860734684985
Tropones	Elusimicrobiota	0.9	0.0373860734684985
Tropones	Firmicutes	0.9	0.0373860734684985
Tropones	Latescibacterota	0.9	0.0373860734684985
Tropones	MBNT15	0.9	0.0373860734684985
Aporphines	Acidobacteriota	-0.9	0.0373860734684985
Aporphines	Actinobacteriota	0.9	0.0373860734684985
Aporphines	Bacteroidota	0.9	0.0373860734684985
Aporphines	Fibrobacterota	-0.9	0.0373860734684985
Aporphines	Methylomirabilota	-0.9	0.0373860734684985
Aporphines	NB1-j	-0.9	0.0373860734684985
Aporphines	Planctomycetota	-0.9	0.0373860734684985
Aporphines	Proteobacteria	0.9	0.0373860734684985
Dibenzylbutane lignans	Gemmatimonadota	-0.9	0.0373860734684985
Dibenzylbutane lignans	Verrucomicrobiota	0.9	0.0373860734684985
Dibenzylbutane lignans	WS2	-0.9	0.0373860734684985
Aspidofractine alkaloids	Armatimonadota	0.9	0.0373860734684985
Naphthacenes	Armatimonadota	1	0
Cycloheptapyrans	Bacteroidota	-1	0
Cycloheptapyrans	Fibrobacterota	1	0
Cycloheptapyrans	Hydrogenedentes	-0.974679434480896	0.00481823046819851
Cycloheptapyrans	SAR324_clade(Marine_group_B)	0.9	0.0373860734684985
Tannins	RCP2-54	0.9	0.0373860734684985
Tetrapyrroles and derivatives	Gemmatimonadota	0.9	0.0373860734684985
Tetrapyrroles and derivatives	Verrucomicrobiota	-0.9	0.0373860734684985
Macrolide lactams	Armatimonadota	-0.9	0.0373860734684985
Macrolide lactams	Bdellovibrionota	-0.9	0.0373860734684985
Macrolide lactams	GAL15	0.9	0.0373860734684985
Macrolide lactams	Nitrospirota	0.9	0.0373860734684985
Macrolide lactams	Patescibacteria	0.9	0.0373860734684985
