Treatment,Compound,log2FC
"Saxitoxins, gonyautoxins, and derivatives",Acyl halides,
Sphingolipids,Acyl halides,
Steroids and steroid derivatives,Acyl halides,
Stilbenes,Acyl halides,
Strychnos alkaloids,Acyl halides,
Sulfoxides,Acyl halides,
Tannins,Acyl halides,
Tetrahydrofurans,Acyl halides,
Tetrahydroisoquinolines,Acyl halides,
Tetralins,Acyl halides,
Tetrapyrroles and derivatives,Acyl halides,
Thiazinanes,Acyl halides,
Thiosulfinic acid esters,Acyl halides,
Trithiolanes,Acyl halides,
Tropane alkaloids,Acyl halides,
Tropones,Acyl halides,
Unclassified,Acyl halides,
Unsaturated hydrocarbons,Acyl halides,
Vinylogous acids,Acyl halides,
2-arylbenzofuran flavonoids,Aporphines,
5'-deoxyribonucleosides,Aporphines,
Acenaphthylenes,Aporphines,
Acyl halides,Aporphines,
"Allyl-type 1,3-dipolar organic compounds",Aporphines,
Amaryllidaceae alkaloids,Aporphines,
Angucyclines,Aporphines,
Anthracenes,Aporphines,
Aporphines,Aporphines,
Arylnaphthalene lignans,Aporphines,
Aryltetralin lignans,Aporphines,
Aspidofractine alkaloids,Aporphines,
Aspidospermatan-type alkaloids,Aporphines,
Azaphilones,Aporphines,
Azaspirodecane derivatives,Aporphines,
Azepanes,Aporphines,
Azepines,Aporphines,
Azetidines,Aporphines,
Azoles,Aporphines,
Azolidines,Aporphines,
Benzazepines,Aporphines,
Benzene and substituted derivatives,Aporphines,
Benzodiazepines,Aporphines,
Benzodioxoles,Aporphines,
Benzofurans,Aporphines,
Benzophenanthridine alkaloids,Aporphines,
Benzopyrans,Aporphines,
Benzothiazoles,Aporphines,
Benzoxazines,Aporphines,
Benzoxepines,Aporphines,
Bi- and oligothiophenes,Aporphines,
Carboximidic acids and derivatives,Aporphines,
Carboxylic acids and derivatives,Aporphines,
Cinnamic acids and derivatives,Aporphines,
Coumarins and derivatives,Aporphines,
Cycloheptapyrans,Aporphines,
Daphniphylline-type alkaloids,Aporphines,
Depsides and depsidones,Aporphines,
Diarylheptanoids,Aporphines,
Diazanaphthalenes,Aporphines,
Diazines,Aporphines,
Dibenzylbutane lignans,Aporphines,
Dihydrofurans,Aporphines,
Dihydroisoquinolines,Aporphines,
Dioxanes,Aporphines,
Ergoline and derivatives,Aporphines,
Fatty Acyls,Aporphines,
Flavonoids,Aporphines,
Fluorenes,Aporphines,
Furanoid lignans,Aporphines,
Furans,Aporphines,
Furofurans,Aporphines,
Furopyrans,Aporphines,
Gelsemium alkaloids,Aporphines,
Glycerolipids,Aporphines,
Glycerophospholipids,Aporphines,
Harmala alkaloids,Aporphines,
Heteroaromatic compounds,Aporphines,
Hydroxy acids and derivatives,Aporphines,
Imidazodiazepines,Aporphines,
Imidazopyrimidines,Aporphines,
Indanes,Aporphines,
Indoles and derivatives,Aporphines,
Indolizidines,Aporphines,
Indolonaphthyridine alkaloids,Aporphines,
Isobenzofurans,Aporphines,
Isocoumarans,Aporphines,
Isocoumarins and derivatives,Aporphines,
Isoflavonoids,Aporphines,
Isoindoles and derivatives,Aporphines,
Isoquinolines and derivatives,Aporphines,
Keto acids and derivatives,Aporphines,
Lactams,Aporphines,
Lactones,Aporphines,
"Linear 1,3-diarylpropanoids",Aporphines,
Lupin alkaloids,Aporphines,
Macrolactams,Aporphines,
Macrolide lactams,Aporphines,
Macrolides and analogues,Aporphines,
Naphthacenes,Aporphines,
Naphthalenes,Aporphines,
Naphthofurans,Aporphines,
Naphthopyrans,Aporphines,
Neoflavonoids,Aporphines,
Organic carbonic acids and derivatives,Aporphines,
Organic oxides,Aporphines,
Organic phosphonic acids and derivatives,Aporphines,
Organic phosphoric acids and derivatives,Aporphines,
Organic sulfonic acids and derivatives,Aporphines,
Organic sulfuric acids and derivatives,Aporphines,
Organochlorides,Aporphines,
Organonitrogen compounds,Aporphines,
Organooxygen compounds,Aporphines,
Other mixed metal/non-metal oxoanionic compounds,Aporphines,
Oxanes,Aporphines,
Oxepanes,Aporphines,
Oxocins,Aporphines,
Peptidomimetics,Aporphines,
Perylenequinones,Aporphines,
Phenanthrenes and derivatives,Aporphines,
Phenol esters,Aporphines,
Phenol ethers,Aporphines,
Phenols,Aporphines,
Phenylpropanoic acids,Aporphines,
Piperidines,Aporphines,
Plumeran-type alkaloids,Aporphines,
Polycyclic hydrocarbons,Aporphines,
Prenol lipids,Aporphines,
Processing_1,Aporphines,
Processing_2,Aporphines,
Processing_3,Aporphines,
Processing_4,Aporphines,
Pteridines and derivatives,Aporphines,
Purine nucleosides,Aporphines,
Pyrans,Aporphines,
Pyridines and derivatives,Aporphines,
Pyridopyrimidines,Aporphines,
Pyrimidine nucleosides,Aporphines,
Pyrroles,Aporphines,
Pyrrolidines,Aporphines,
Pyrrolines,Aporphines,
Pyrrolizidines,Aporphines,
Pyrrolizines,Aporphines,
Quinolines and derivatives,Aporphines,
Quinolizidines,Aporphines,
Quinolizines,Aporphines,
Saccharolipids,Aporphines,
"Saxitoxins, gonyautoxins, and derivatives",Aporphines,
Sphingolipids,Aporphines,
Steroids and steroid derivatives,Aporphines,
Stilbenes,Aporphines,
Strychnos alkaloids,Aporphines,
Sulfoxides,Aporphines,
Tannins,Aporphines,
Tetrahydrofurans,Aporphines,
Tetrahydroisoquinolines,Aporphines,
Tetralins,Aporphines,
Tetrapyrroles and derivatives,Aporphines,
Thiazinanes,Aporphines,
Thiosulfinic acid esters,Aporphines,
Trithiolanes,Aporphines,
Tropane alkaloids,Aporphines,
Tropones,Aporphines,
Unclassified,Aporphines,
Unsaturated hydrocarbons,Aporphines,
Vinylogous acids,Aporphines,
2-arylbenzofuran flavonoids,Aryltetralin lignans,
5'-deoxyribonucleosides,Aryltetralin lignans,
Acenaphthylenes,Aryltetralin lignans,
Acyl halides,Aryltetralin lignans,
"Allyl-type 1,3-dipolar organic compounds",Aryltetralin lignans,
Amaryllidaceae alkaloids,Aryltetralin lignans,
Angucyclines,Aryltetralin lignans,
Anthracenes,Aryltetralin lignans,
Aporphines,Aryltetralin lignans,
Arylnaphthalene lignans,Aryltetralin lignans,
Aryltetralin lignans,Aryltetralin lignans,
Aspidofractine alkaloids,Aryltetralin lignans,
Aspidospermatan-type alkaloids,Aryltetralin lignans,
Azaphilones,Aryltetralin lignans,
Azaspirodecane derivatives,Aryltetralin lignans,
Azepanes,Aryltetralin lignans,
Azepines,Aryltetralin lignans,
Azetidines,Aryltetralin lignans,
Azoles,Aryltetralin lignans,
Azolidines,Aryltetralin lignans,
Benzazepines,Aryltetralin lignans,
Benzene and substituted derivatives,Aryltetralin lignans,
Benzodiazepines,Aryltetralin lignans,
Benzodioxoles,Aryltetralin lignans,
Benzofurans,Aryltetralin lignans,
Benzophenanthridine alkaloids,Aryltetralin lignans,
Benzopyrans,Aryltetralin lignans,
Benzothiazoles,Aryltetralin lignans,
Benzoxazines,Aryltetralin lignans,
Benzoxepines,Aryltetralin lignans,
Bi- and oligothiophenes,Aryltetralin lignans,
Carboximidic acids and derivatives,Aryltetralin lignans,
Carboxylic acids and derivatives,Aryltetralin lignans,
Cinnamic acids and derivatives,Aryltetralin lignans,
Coumarins and derivatives,Aryltetralin lignans,
Cycloheptapyrans,Aryltetralin lignans,
Daphniphylline-type alkaloids,Aryltetralin lignans,
Depsides and depsidones,Aryltetralin lignans,
Diarylheptanoids,Aryltetralin lignans,
Diazanaphthalenes,Aryltetralin lignans,
Diazines,Aryltetralin lignans,
Dibenzylbutane lignans,Aryltetralin lignans,
Dihydrofurans,Aryltetralin lignans,
Dihydroisoquinolines,Aryltetralin lignans,
Dioxanes,Aryltetralin lignans,
Ergoline and derivatives,Aryltetralin lignans,
Fatty Acyls,Aryltetralin lignans,
Flavonoids,Aryltetralin lignans,
Fluorenes,Aryltetralin lignans,
Furanoid lignans,Aryltetralin lignans,
Furans,Aryltetralin lignans,
Furofurans,Aryltetralin lignans,
Furopyrans,Aryltetralin lignans,
Gelsemium alkaloids,Aryltetralin lignans,
Glycerolipids,Aryltetralin lignans,
Glycerophospholipids,Aryltetralin lignans,
Harmala alkaloids,Aryltetralin lignans,
Heteroaromatic compounds,Aryltetralin lignans,
Hydroxy acids and derivatives,Aryltetralin lignans,
Imidazodiazepines,Aryltetralin lignans,
Imidazopyrimidines,Aryltetralin lignans,
Indanes,Aryltetralin lignans,
Indoles and derivatives,Aryltetralin lignans,
Indolizidines,Aryltetralin lignans,
Indolonaphthyridine alkaloids,Aryltetralin lignans,
Isobenzofurans,Aryltetralin lignans,
Isocoumarans,Aryltetralin lignans,
Isocoumarins and derivatives,Aryltetralin lignans,
Isoflavonoids,Aryltetralin lignans,
Isoindoles and derivatives,Aryltetralin lignans,
Isoquinolines and derivatives,Aryltetralin lignans,
Keto acids and derivatives,Aryltetralin lignans,
Lactams,Aryltetralin lignans,
Lactones,Aryltetralin lignans,
"Linear 1,3-diarylpropanoids",Aryltetralin lignans,
Lupin alkaloids,Aryltetralin lignans,
Macrolactams,Aryltetralin lignans,
Macrolide lactams,Aryltetralin lignans,
Macrolides and analogues,Aryltetralin lignans,
Naphthacenes,Aryltetralin lignans,
Naphthalenes,Aryltetralin lignans,
Naphthofurans,Aryltetralin lignans,
Naphthopyrans,Aryltetralin lignans,
Neoflavonoids,Aryltetralin lignans,
Organic carbonic acids and derivatives,Aryltetralin lignans,
Organic oxides,Aryltetralin lignans,
Organic phosphonic acids and derivatives,Aryltetralin lignans,
Organic phosphoric acids and derivatives,Aryltetralin lignans,
Organic sulfonic acids and derivatives,Aryltetralin lignans,
Organic sulfuric acids and derivatives,Aryltetralin lignans,
Organochlorides,Aryltetralin lignans,
Organonitrogen compounds,Aryltetralin lignans,
Organooxygen compounds,Aryltetralin lignans,
Other mixed metal/non-metal oxoanionic compounds,Aryltetralin lignans,
Oxanes,Aryltetralin lignans,
Oxepanes,Aryltetralin lignans,
Oxocins,Aryltetralin lignans,
Peptidomimetics,Aryltetralin lignans,
Perylenequinones,Aryltetralin lignans,
Phenanthrenes and derivatives,Aryltetralin lignans,
Phenol esters,Aryltetralin lignans,
Phenol ethers,Aryltetralin lignans,
Phenols,Aryltetralin lignans,
Phenylpropanoic acids,Aryltetralin lignans,
Piperidines,Aryltetralin lignans,
Plumeran-type alkaloids,Aryltetralin lignans,
Polycyclic hydrocarbons,Aryltetralin lignans,
Prenol lipids,Aryltetralin lignans,
Processing_1,Aryltetralin lignans,
Processing_2,Aryltetralin lignans,
Processing_3,Aryltetralin lignans,
Processing_4,Aryltetralin lignans,
Pteridines and derivatives,Aryltetralin lignans,
Purine nucleosides,Aryltetralin lignans,
Pyrans,Aryltetralin lignans,
Pyridines and derivatives,Aryltetralin lignans,
Pyridopyrimidines,Aryltetralin lignans,
Pyrimidine nucleosides,Aryltetralin lignans,
Pyrroles,Aryltetralin lignans,
Pyrrolidines,Aryltetralin lignans,
Pyrrolines,Aryltetralin lignans,
Pyrrolizidines,Aryltetralin lignans,
Pyrrolizines,Aryltetralin lignans,
Quinolines and derivatives,Aryltetralin lignans,
Quinolizidines,Aryltetralin lignans,
Quinolizines,Aryltetralin lignans,
Saccharolipids,Aryltetralin lignans,
"Saxitoxins, gonyautoxins, and derivatives",Aryltetralin lignans,
Sphingolipids,Aryltetralin lignans,
Steroids and steroid derivatives,Aryltetralin lignans,
Stilbenes,Aryltetralin lignans,
Strychnos alkaloids,Aryltetralin lignans,
Sulfoxides,Aryltetralin lignans,
Tannins,Aryltetralin lignans,
Tetrahydrofurans,Aryltetralin lignans,
Tetrahydroisoquinolines,Aryltetralin lignans,
Tetralins,Aryltetralin lignans,
Tetrapyrroles and derivatives,Aryltetralin lignans,
Thiazinanes,Aryltetralin lignans,
Thiosulfinic acid esters,Aryltetralin lignans,
Trithiolanes,Aryltetralin lignans,
Tropane alkaloids,Aryltetralin lignans,
Tropones,Aryltetralin lignans,
Unclassified,Aryltetralin lignans,
Unsaturated hydrocarbons,Aryltetralin lignans,
Vinylogous acids,Aryltetralin lignans,
2-arylbenzofuran flavonoids,Aspidofractine alkaloids,
5'-deoxyribonucleosides,Aspidofractine alkaloids,
Acenaphthylenes,Aspidofractine alkaloids,
Acyl halides,Aspidofractine alkaloids,
"Allyl-type 1,3-dipolar organic compounds",Aspidofractine alkaloids,
Amaryllidaceae alkaloids,Aspidofractine alkaloids,
Angucyclines,Aspidofractine alkaloids,
Anthracenes,Aspidofractine alkaloids,
Aporphines,Aspidofractine alkaloids,
Arylnaphthalene lignans,Aspidofractine alkaloids,
Aryltetralin lignans,Aspidofractine alkaloids,
Aspidofractine alkaloids,Aspidofractine alkaloids,
Aspidospermatan-type alkaloids,Aspidofractine alkaloids,
Azaphilones,Aspidofractine alkaloids,
Azaspirodecane derivatives,Aspidofractine alkaloids,
Azepanes,Aspidofractine alkaloids,
Azepines,Aspidofractine alkaloids,
Azetidines,Aspidofractine alkaloids,
Azoles,Aspidofractine alkaloids,
Azolidines,Aspidofractine alkaloids,
Benzazepines,Aspidofractine alkaloids,
Benzene and substituted derivatives,Aspidofractine alkaloids,
Benzodiazepines,Aspidofractine alkaloids,
Benzodioxoles,Aspidofractine alkaloids,
Benzofurans,Aspidofractine alkaloids,
Benzophenanthridine alkaloids,Aspidofractine alkaloids,
Benzopyrans,Aspidofractine alkaloids,
Benzothiazoles,Aspidofractine alkaloids,
Benzoxazines,Aspidofractine alkaloids,
Benzoxepines,Aspidofractine alkaloids,
Bi- and oligothiophenes,Aspidofractine alkaloids,
Carboximidic acids and derivatives,Aspidofractine alkaloids,
Carboxylic acids and derivatives,Aspidofractine alkaloids,
Cinnamic acids and derivatives,Aspidofractine alkaloids,
Coumarins and derivatives,Aspidofractine alkaloids,
Cycloheptapyrans,Aspidofractine alkaloids,
Daphniphylline-type alkaloids,Aspidofractine alkaloids,
Depsides and depsidones,Aspidofractine alkaloids,
Diarylheptanoids,Aspidofractine alkaloids,
Diazanaphthalenes,Aspidofractine alkaloids,
Diazines,Aspidofractine alkaloids,
Dibenzylbutane lignans,Aspidofractine alkaloids,
Dihydrofurans,Aspidofractine alkaloids,
Dihydroisoquinolines,Aspidofractine alkaloids,
Dioxanes,Aspidofractine alkaloids,
Ergoline and derivatives,Aspidofractine alkaloids,
Fatty Acyls,Aspidofractine alkaloids,
Flavonoids,Aspidofractine alkaloids,
Fluorenes,Aspidofractine alkaloids,
Furanoid lignans,Aspidofractine alkaloids,
Furans,Aspidofractine alkaloids,
Furofurans,Aspidofractine alkaloids,
Furopyrans,Aspidofractine alkaloids,
Gelsemium alkaloids,Aspidofractine alkaloids,
Glycerolipids,Aspidofractine alkaloids,
Glycerophospholipids,Aspidofractine alkaloids,
Harmala alkaloids,Aspidofractine alkaloids,
Heteroaromatic compounds,Aspidofractine alkaloids,
Hydroxy acids and derivatives,Aspidofractine alkaloids,
Imidazodiazepines,Aspidofractine alkaloids,
Imidazopyrimidines,Aspidofractine alkaloids,
Indanes,Aspidofractine alkaloids,
Indoles and derivatives,Aspidofractine alkaloids,
Indolizidines,Aspidofractine alkaloids,
Indolonaphthyridine alkaloids,Aspidofractine alkaloids,
Isobenzofurans,Aspidofractine alkaloids,
Isocoumarans,Aspidofractine alkaloids,
Isocoumarins and derivatives,Aspidofractine alkaloids,
Isoflavonoids,Aspidofractine alkaloids,
Isoindoles and derivatives,Aspidofractine alkaloids,
Isoquinolines and derivatives,Aspidofractine alkaloids,
Keto acids and derivatives,Aspidofractine alkaloids,
Lactams,Aspidofractine alkaloids,
Lactones,Aspidofractine alkaloids,
"Linear 1,3-diarylpropanoids",Aspidofractine alkaloids,
Lupin alkaloids,Aspidofractine alkaloids,
Macrolactams,Aspidofractine alkaloids,
Macrolide lactams,Aspidofractine alkaloids,
Macrolides and analogues,Aspidofractine alkaloids,
Naphthacenes,Aspidofractine alkaloids,
Naphthalenes,Aspidofractine alkaloids,
Naphthofurans,Aspidofractine alkaloids,
Naphthopyrans,Aspidofractine alkaloids,
Neoflavonoids,Aspidofractine alkaloids,
Organic carbonic acids and derivatives,Aspidofractine alkaloids,
Organic oxides,Aspidofractine alkaloids,
Organic phosphonic acids and derivatives,Aspidofractine alkaloids,
Organic phosphoric acids and derivatives,Aspidofractine alkaloids,
Organic sulfonic acids and derivatives,Aspidofractine alkaloids,
Organic sulfuric acids and derivatives,Aspidofractine alkaloids,
Organochlorides,Aspidofractine alkaloids,
Organonitrogen compounds,Aspidofractine alkaloids,
Organooxygen compounds,Aspidofractine alkaloids,
Other mixed metal/non-metal oxoanionic compounds,Aspidofractine alkaloids,
Oxanes,Aspidofractine alkaloids,
Oxepanes,Aspidofractine alkaloids,
Oxocins,Aspidofractine alkaloids,
Peptidomimetics,Aspidofractine alkaloids,
Perylenequinones,Aspidofractine alkaloids,
Phenanthrenes and derivatives,Aspidofractine alkaloids,
Phenol esters,Aspidofractine alkaloids,
Phenol ethers,Aspidofractine alkaloids,
Phenols,Aspidofractine alkaloids,
Phenylpropanoic acids,Aspidofractine alkaloids,
Piperidines,Aspidofractine alkaloids,
Plumeran-type alkaloids,Aspidofractine alkaloids,
Polycyclic hydrocarbons,Aspidofractine alkaloids,
Prenol lipids,Aspidofractine alkaloids,
Processing_1,Aspidofractine alkaloids,
Processing_2,Aspidofractine alkaloids,
Processing_3,Aspidofractine alkaloids,
Processing_4,Aspidofractine alkaloids,
Pteridines and derivatives,Aspidofractine alkaloids,
Purine nucleosides,Aspidofractine alkaloids,
Pyrans,Aspidofractine alkaloids,
Pyridines and derivatives,Aspidofractine alkaloids,
Pyridopyrimidines,Aspidofractine alkaloids,
Pyrimidine nucleosides,Aspidofractine alkaloids,
Pyrroles,Aspidofractine alkaloids,
Pyrrolidines,Aspidofractine alkaloids,
Pyrrolines,Aspidofractine alkaloids,
Pyrrolizidines,Aspidofractine alkaloids,
Pyrrolizines,Aspidofractine alkaloids,
Quinolines and derivatives,Aspidofractine alkaloids,
Quinolizidines,Aspidofractine alkaloids,
Quinolizines,Aspidofractine alkaloids,
Saccharolipids,Aspidofractine alkaloids,
"Saxitoxins, gonyautoxins, and derivatives",Aspidofractine alkaloids,
Sphingolipids,Aspidofractine alkaloids,
Steroids and steroid derivatives,Aspidofractine alkaloids,
Stilbenes,Aspidofractine alkaloids,
Strychnos alkaloids,Aspidofractine alkaloids,
Sulfoxides,Aspidofractine alkaloids,
Tannins,Aspidofractine alkaloids,
Tetrahydrofurans,Aspidofractine alkaloids,
Tetrahydroisoquinolines,Aspidofractine alkaloids,
Tetralins,Aspidofractine alkaloids,
Tetrapyrroles and derivatives,Aspidofractine alkaloids,
Thiazinanes,Aspidofractine alkaloids,
Thiosulfinic acid esters,Aspidofractine alkaloids,
Trithiolanes,Aspidofractine alkaloids,
Tropane alkaloids,Aspidofractine alkaloids,
Tropones,Aspidofractine alkaloids,
Unclassified,Aspidofractine alkaloids,
Unsaturated hydrocarbons,Aspidofractine alkaloids,
Vinylogous acids,Aspidofractine alkaloids,
2-arylbenzofuran flavonoids,Azaphilones,
5'-deoxyribonucleosides,Azaphilones,
Acenaphthylenes,Azaphilones,
Acyl halides,Azaphilones,
"Allyl-type 1,3-dipolar organic compounds",Azaphilones,
Amaryllidaceae alkaloids,Azaphilones,
Angucyclines,Azaphilones,
Anthracenes,Azaphilones,
Aporphines,Azaphilones,
Arylnaphthalene lignans,Azaphilones,
Aryltetralin lignans,Azaphilones,
Aspidofractine alkaloids,Azaphilones,
Aspidospermatan-type alkaloids,Azaphilones,
Azaphilones,Azaphilones,
Azaspirodecane derivatives,Azaphilones,
Azepanes,Azaphilones,
Azepines,Azaphilones,
Azetidines,Azaphilones,
Azoles,Azaphilones,
Azolidines,Azaphilones,
Benzazepines,Azaphilones,
Benzene and substituted derivatives,Azaphilones,
Benzodiazepines,Azaphilones,
Benzodioxoles,Azaphilones,
Benzofurans,Azaphilones,
Benzophenanthridine alkaloids,Azaphilones,
Benzopyrans,Azaphilones,
Benzothiazoles,Azaphilones,
Benzoxazines,Azaphilones,
Benzoxepines,Azaphilones,
Bi- and oligothiophenes,Azaphilones,
Carboximidic acids and derivatives,Azaphilones,
Carboxylic acids and derivatives,Azaphilones,
Cinnamic acids and derivatives,Azaphilones,
Coumarins and derivatives,Azaphilones,
Cycloheptapyrans,Azaphilones,
Daphniphylline-type alkaloids,Azaphilones,
Depsides and depsidones,Azaphilones,
Diarylheptanoids,Azaphilones,
Diazanaphthalenes,Azaphilones,
Diazines,Azaphilones,
Dibenzylbutane lignans,Azaphilones,
Dihydrofurans,Azaphilones,
Dihydroisoquinolines,Azaphilones,
Dioxanes,Azaphilones,
Ergoline and derivatives,Azaphilones,
Fatty Acyls,Azaphilones,
Flavonoids,Azaphilones,
Fluorenes,Azaphilones,
Furanoid lignans,Azaphilones,
Furans,Azaphilones,
Furofurans,Azaphilones,
Furopyrans,Azaphilones,
Gelsemium alkaloids,Azaphilones,
Glycerolipids,Azaphilones,
Glycerophospholipids,Azaphilones,
Harmala alkaloids,Azaphilones,
Heteroaromatic compounds,Azaphilones,
Hydroxy acids and derivatives,Azaphilones,
Imidazodiazepines,Azaphilones,
Imidazopyrimidines,Azaphilones,
Indanes,Azaphilones,
Indoles and derivatives,Azaphilones,
Indolizidines,Azaphilones,
Indolonaphthyridine alkaloids,Azaphilones,
Isobenzofurans,Azaphilones,
Isocoumarans,Azaphilones,
Isocoumarins and derivatives,Azaphilones,
Isoflavonoids,Azaphilones,
Isoindoles and derivatives,Azaphilones,
Isoquinolines and derivatives,Azaphilones,
Keto acids and derivatives,Azaphilones,
Lactams,Azaphilones,
Lactones,Azaphilones,
"Linear 1,3-diarylpropanoids",Azaphilones,
Lupin alkaloids,Azaphilones,
Macrolactams,Azaphilones,
Macrolide lactams,Azaphilones,
Macrolides and analogues,Azaphilones,
Naphthacenes,Azaphilones,
Naphthalenes,Azaphilones,
Naphthofurans,Azaphilones,
Naphthopyrans,Azaphilones,
Neoflavonoids,Azaphilones,
Organic carbonic acids and derivatives,Azaphilones,
Organic oxides,Azaphilones,
Organic phosphonic acids and derivatives,Azaphilones,
Organic phosphoric acids and derivatives,Azaphilones,
Organic sulfonic acids and derivatives,Azaphilones,
Organic sulfuric acids and derivatives,Azaphilones,
Organochlorides,Azaphilones,
Organonitrogen compounds,Azaphilones,
Organooxygen compounds,Azaphilones,
Other mixed metal/non-metal oxoanionic compounds,Azaphilones,
Oxanes,Azaphilones,
Oxepanes,Azaphilones,
Oxocins,Azaphilones,
Peptidomimetics,Azaphilones,
Perylenequinones,Azaphilones,
Phenanthrenes and derivatives,Azaphilones,
Phenol esters,Azaphilones,
Phenol ethers,Azaphilones,
Phenols,Azaphilones,
Phenylpropanoic acids,Azaphilones,
Piperidines,Azaphilones,
Plumeran-type alkaloids,Azaphilones,
Polycyclic hydrocarbons,Azaphilones,
Prenol lipids,Azaphilones,
Processing_1,Azaphilones,
Processing_2,Azaphilones,
Processing_3,Azaphilones,
Processing_4,Azaphilones,
Pteridines and derivatives,Azaphilones,
Purine nucleosides,Azaphilones,
Pyrans,Azaphilones,
Pyridines and derivatives,Azaphilones,
Pyridopyrimidines,Azaphilones,
Pyrimidine nucleosides,Azaphilones,
Pyrroles,Azaphilones,
Pyrrolidines,Azaphilones,
Pyrrolines,Azaphilones,
Pyrrolizidines,Azaphilones,
