Taxon,RDYS_1,RDYS_2,RDYS_3,RDYS_4,RDYS_5
d__Bacteria;p__Abditibacteriota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae;g__Abditibacterium,0.001697679,5.39E-05,0.000482252,0.000256351,0.001110186
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Elev-16S-1166;f__Elev-16S-1166;g__Elev-16S-1166,0,0,0,0,8.16E-05
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__PAUC26f;f__PAUC26f;g__PAUC26f,0,0.000121175,0,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__Candidatus_Solibacter,0.00060154,0.000605873,0.000613775,0.000499211,0.00026122
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_12;f__Subgroup_12;g__Subgroup_12,0,5.39E-05,0,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_15;f__Subgroup_15;g__Subgroup_15,4.01E-05,0.000484698,0.000263046,8.10E-05,9.80E-05
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_2;f__Subgroup_2;g__Subgroup_2,0,0.000255813,0.000189978,5.40E-05,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__unclassified_Acidobacteriae;f__unclassified_Acidobacteriae;g__unclassified_Acidobacteriae,0.000253984,0.000121175,2.92E-05,0.000215875,0.000179589
d__Bacteria;p__Acidobacteriota;c__Acidobacteriota;o__Acidobacteriota;f__Acidobacteriota;g__Acidobacteriota,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;f__11-24;g__11-24,0.003101273,0.004119936,0.004354879,0.002711928,0.004555028
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter,0.001029302,0.000107711,0.000818366,0.001214296,0.001828542
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatella,0.001056037,0.000148102,0.001008344,0.00062064,0.002824444
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Blastocatellaceae,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__JGI_0001001-H03,0.000200513,0.00168298,0.00055532,0.00136271,0.000114284
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__OLB17,0,6.73E-05,5.85E-05,0,0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter,8.02E-05,0.000430843,0.000716071,0.000472226,0.000702029
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Tellurimicrobium,0,0,0,0,3.27E-05
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__unclassified_Blastocatellaceae,0.001189712,0.001265601,0.001417528,0.001065882,0.001289775
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__uncultured,0.004397925,0.00500855,0.004413334,0.004088131,0.002334656
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__DS-100;f__DS-100;g__DS-100,0.001109507,0.000403915,0.00094989,0.001011914,0.002383635
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Elev-16S-573;f__Elev-16S-573;g__Elev-16S-573,0.000868891,0.001265601,0.001402914,0.000998421,0.001159165
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41,0.047829109,0.072583577,0.052448523,0.046979775,0.055313383
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__unclassified_Blastocatellia;f__unclassified_Blastocatellia;g__unclassified_Blastocatellia,0.000187146,0.000134638,0.000204592,0.00012143,0.000212241
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7,0.006376323,0.006220295,0.009148168,0.007650067,0.006987641
d__Bacteria;p__Acidobacteriota;c__Subgroup_11;o__Subgroup_11;f__Subgroup_11;g__Subgroup_11,0.000147043,0.000471234,0.000423797,0.000229367,6.53E-05
d__Bacteria;p__Acidobacteriota;c__Subgroup_18;o__Subgroup_18;f__Subgroup_18;g__Subgroup_18,6.68E-05,0.00052509,0.000453024,0.000242859,4.90E-05
d__Bacteria;p__Acidobacteriota;c__Subgroup_20;o__Subgroup_20;f__Subgroup_20;g__Subgroup_20,6.68E-05,0.000121175,0.000160751,9.44E-05,0
d__Bacteria;p__Acidobacteriota;c__Subgroup_22;o__Subgroup_22;f__Subgroup_22;g__Subgroup_22,0.000133676,0.003190931,0.000657616,0.000782547,0.000163263
d__Bacteria;p__Acidobacteriota;c__Subgroup_25;o__Subgroup_25;f__Subgroup_25;g__Subgroup_25,0.000240616,0.00122521,0.001008344,0.000566672,0.000424483
d__Bacteria;p__Acidobacteriota;c__Subgroup_5;o__Subgroup_5;f__Subgroup_5;g__Subgroup_5,0.000574805,0.001952257,0.000701457,0.000809531,0.000146936
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup_10,0.00316811,0.006314542,0.004047991,0.003076217,0.003085664
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup_17;f__Subgroup_17;g__Subgroup_17,0.007766549,0.013234958,0.01212936,0.009107222,0.004881553
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup_9;f__Subgroup_9;g__Subgroup_9,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Luteitalea,0.000253984,0.000323132,0.000292274,0.000418258,0.000489788
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacter,0.001670944,0.001292529,0.001695188,0.00160557,0.001665279
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacteraceae,0.030571597,0.044713422,0.031170995,0.034904273,0.028734225
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__unclassified_Vicinamibacteraceae,0.000147043,9.42E-05,8.77E-05,4.05E-05,9.80E-05
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__uncultured,0.001791252,0.001669517,0.001563665,0.001888905,0.001518343
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__unclassified_Vicinamibacterales;g__unclassified_Vicinamibacterales,0.000187146,0.000363524,0.000438411,6.75E-05,0.000473462
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured;g__uncultured,0.031453855,0.0421149,0.034064505,0.036469366,0.027085272
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__unclassified_Vicinamibacteria;f__unclassified_Vicinamibacteria;g__unclassified_Vicinamibacteria,0.000120308,0.000107711,7.31E-05,9.44E-05,0
d__Bacteria;p__Acidobacteriota;c__unclassified_Acidobacteriota;o__unclassified_Acidobacteriota;f__unclassified_Acidobacteriota;g__unclassified_Acidobacteriota,2.67E-05,9.42E-05,7.31E-05,0,0.00013061
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__uncultured,9.36E-05,0.000323132,0.000146137,0.00043175,0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiia;f__Acidimicrobiia;g__Acidimicrobiia,0,0,4.38E-05,0,0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__uncultured;g__uncultured,0.001898193,0.002975509,0.002966578,0.003265108,0.001240796
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__IMCC26256;g__IMCC26256,0.005841621,0.011538513,0.008826667,0.008837379,0.007640692
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Iamiaceae;g__Iamia,0.006028767,0.004321894,0.005597042,0.0074207,0.005159099
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__CL500-29_marine_group,0.005066303,0.00122521,0.002411258,0.002927803,0.003999935
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Ilumatobacter,0.000895626,0.000646264,0.000701457,0.000539687,0.000571419
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Ilumatobacteraceae,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__unclassified_Ilumatobacteraceae,0.00060154,0.000498162,0.000584547,0.000512703,4.90E-05
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__uncultured,0.005975297,0.00441614,0.004325651,0.006624661,0.004179524
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae;g__uncultured,4.01E-05,0.000134638,0,0,0.000228568
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichales;g__Microtrichales,0.000227248,9.42E-05,0.000175364,0,0.00013061
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__unclassified_Microtrichales;g__unclassified_Microtrichales,0.000374292,0.000834758,0.000204592,0.001268265,0.000734682
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured;g__uncultured,0.003555769,0.006045265,0.004267197,0.004519881,0.003395863
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__unclassified_Acidimicrobiia;f__unclassified_Acidimicrobiia;g__unclassified_Acidimicrobiia,0.002018501,0.002288853,0.001578278,0.00234764,0.002465266
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__uncultured;f__uncultured;g__uncultured,0.003047802,0.003177467,0.002981192,0.002428593,0.003673409
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14,0.003141375,0.002436956,0.001914393,0.001942874,0.002546897
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Catenulisporales;f__Actinospicaceae;g__Actinospica,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Catenulisporales;f__Catenulisporaceae;g__Catenulispora,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium,0.005306919,0.003635238,0.003858013,0.005761161,0.00310199
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__unclassified_Mycobacteriaceae,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Gordonia,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia,4.01E-05,0,0,0.000161906,0.000179589
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus,0.00065501,0.000107711,4.38E-05,0.000269844,4.90E-05
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Smaragdicoccus,0.000227248,0.000121175,0.000102296,0,8.16E-05
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Williamsia,0.000280719,0,0,2.70E-05,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__unclassified_Nocardiaceae,0,0,5.85E-05,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Tsukamurellaceae;g__Tsukamurella,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__unclassified_Corynebacteriales;g__unclassified_Corynebacteriales,4.01E-05,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Elev-16S-976;f__Elev-16S-976;g__Elev-16S-976,0,4.04E-05,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Euzebyales;f__Euzebyaceae;g__unclassified_Euzebyaceae,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Euzebyales;f__Euzebyaceae;g__uncultured,0.000227248,0.000296205,0.000306887,0.000256351,0.00026122
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__FFCH16263;f__FFCH16263;g__FFCH16263,0.000227248,0.000888614,0.000599161,0.000323812,0.000195915
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Acidothermaceae;g__Acidothermus,0.000213881,0,0.000204592,0.000418258,0.000359178
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Cryptosporangiaceae;g__Cryptosporangium,0,0,0,0.00062064,0.000293873
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Frankia,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Jatrophihabitans,0.000507967,0,0.000876821,0.000647625,0.001273449
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__unclassified_Frankiaceae,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiales;g__Frankiales,0,0.000269277,0,0.00012143,9.80E-05
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus,0.01475778,0.00308322,0.005830861,0.010024691,0.015395667
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Geodermatophilus,0.007298685,0.001252137,0.001768256,0.003292092,0.006269285
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Klenkia,0.000253984,0,0,4.05E-05,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Modestobacter,0.004170677,0.000309668,0.001315232,0.003561936,0.004685638
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__unclassified_Geodermatophilaceae,0.000454497,0,0.000365342,0.000269844,0.000506114
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Nakamurellaceae;g__Nakamurella,0.001229815,0.000605873,0.001066799,0.000539687,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__Sporichthya,0.000788686,0.000255813,0.000979117,0.000823023,0.001012228
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__unclassified_Sporichthyaceae,0,0.000282741,1.46E-05,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__uncultured,0.000775318,0.000942469,0.000979117,0.000809531,0.000816313
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__unclassified_Frankiales;g__unclassified_Frankiales,0.00120308,0.000982861,0.00083298,0.000350797,0.00026122
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__uncultured;g__uncultured,0.002660143,0.002935118,0.002674305,0.001578585,0.00380402
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Glycomycetales;f__Glycomycetaceae;g__Glycomyces,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Angustibacter,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Kineococcus,9.36E-05,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Kineosporia,0.002138809,4.04E-05,0.000350728,0.000512703,0.000587746
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Quadrisphaera,0,0.000201958,0.000233819,0.000269844,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__unclassified_Kineosporiaceae,0.000695113,0.000390451,0.000628389,0.000890484,0.001404059
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__uncultured,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Beutenbergiaceae;g__Beutenbergia,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Bogoriellaceae;g__Georgenia,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas,0.00360924,4.04E-05,4.38E-05,0.001308742,0.001926499
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae;g__Flexivirga,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermatophilaceae;g__unclassified_Dermatophilaceae,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermatophilaceae;g__uncultured,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Oryzihumus,0,9.42E-05,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Pedococcus-Phycicoccus,0.000173778,0,0,0.000418258,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Terrabacter,0.000200513,0.000578945,0.00027766,0.000283336,0.000277546
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__unclassified_Intrasporangiaceae,0.001002567,0.000632801,0.001271391,0.000701593,0.000718356
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agromyces,0.001162977,0.001144427,0.001929007,0.001268265,0.000979576
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Amnibacterium,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Galbitalea,0,0.000121175,0,0.000458734,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leifsonia,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium,0.000200513,5.39E-05,0,0.000161906,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Naasia,0,0,0,0,9.80E-05
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Pseudoclavibacter,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__unclassified_Microbacteriaceae,0.001817987,0.000323132,0.001154481,0.002064304,0.001404059
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__uncultured,4.01E-05,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter,0.000267351,0.000242349,0.000233819,0.000148414,8.16E-05
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Citricoccus,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Paenarthrobacter,0.000334189,0,0.000482252,0.000404765,0.00039183
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter,0.000975831,0.00105018,0.001008344,0.000755562,0.000751008
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__unclassified_Micrococcaceae,0.014035932,0.009034239,0.008563621,0.011778674,0.008016196
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae;g__Cellulosimicrobium,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae;g__Isoptericola,0.000120308,0,0.000116909,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae;g__Promicromonospora,5.35E-05,5.39E-05,5.85E-05,0.000283336,0.000114284
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae;g__Xylanimonas,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae;g__unclassified_Promicromonosporaceae,0,0,1.46E-05,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__unclassified_Micrococcales;g__unclassified_Micrococcales,8.02E-05,0,0,2.70E-05,4.90E-05
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Actinoplanes,0.004304352,0.000713584,0.002192053,0.004034162,0.004408091
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Allocatelliglobosispora,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Asanoa,0.001162977,0.000982861,0.000979117,0.001686523,0.001208144
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Catellatospora,0,0.000444307,0.000292274,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Catelliglobosispora,0,0.000107711,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Catenuloplanes,0,0.000215421,0,0,3.27E-05
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Dactylosporangium,0.000681745,0.000834758,0.000628389,0.000944453,0.000848966
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Krasilnikovia,0.001537269,0.000982861,0.001198322,0.001551601,0.001730584
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Longispora,0.000294086,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Luedemannella,0.000401027,0.001831083,0.000862208,0.000944453,0.00052244
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora,0.001189712,0.000296205,0.000569934,0.001011914,0.001289775
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Planosporangium,0,0,0.000379956,0.000175398,0
